task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	duration	realtime	rss	vmem	peak_rss	peak_vmem	rchar	wchar
79	35/e470ac	14387269	similarity (28)	COMPLETED	0	2016-11-29 16:53:41.381	1m 1s	1.2s	40.0%	109.8 MB	157.8 MB	109.9 MB	158 MB	704.4 KB	15 KB	240	475	61421	1236	115163136	165462016	115273728	165646336	721314	15369
80	63/9906b3	14387271	similarity (29)	COMPLETED	0	2016-11-29 16:53:41.449	1m 1s	1.9s	35.5%	111.1 MB	159.3 MB	111.1 MB	159.3 MB	858.3 KB	19.2 KB	213	473	61382	1884	116531200	167002112	116531200	167026688	878950	19647
82	0f/3f028e	14387275	similarity (31)	COMPLETED	0	2016-11-29 16:53:41.577	1m 1s	1.4s	73.0%	109.5 MB	157.6 MB	109.7 MB	157.8 MB	645.5 KB	14.2 KB	240	475	61279	1401	114802688	165240832	115015680	165511168	660970	14509
84	a9/6439d6	14387282	similarity (33)	COMPLETED	0	2016-11-29 16:53:41.872	1m 1s	821ms	37.0%	109.1 MB	157.2 MB	109.1 MB	157.2 MB	612.5 KB	13.6 KB	238	473	61008	821	114368512	164818944	114368512	164843520	627208	13951
86	ac/8c2e13	14387287	similarity (35)	COMPLETED	0	2016-11-29 16:53:42.000	1m 1s	4.8s	40.0%	113.3 MB	161.4 MB	113.4 MB	161.7 MB	1.5 MB	25.9 KB	254	484	60900	4772	118829056	169263104	118919168	169529344	1521578	26564
87	b2/132758	14387289	similarity (36)	COMPLETED	0	2016-11-29 16:53:42.064	1m 31s	1.4s	72.0%	110.5 MB	158.4 MB	110.5 MB	158.4 MB	894.8 KB	17.5 KB	240	474	90741	1402	115834880	166100992	115834880	166125568	916264	17919
88	95/179571	14387291	similarity (37)	COMPLETED	0	2016-11-29 16:53:42.129	1m 31s	629ms	37.0%	108.6 MB	156.4 MB	72.2 MB	107 MB	432 KB	11.2 KB	240	474	90702	629	113844224	163966976	75681792	112234496	442378	11505
89	3d/a2f6e5	14387293	similarity (38)	COMPLETED	0	2016-11-29 16:53:42.193	1m 31s	926ms	37.0%	109.1 MB	157.1 MB	109.3 MB	157.5 MB	1.2 MB	689.6 KB	422	670	90660	926	114434048	164696064	114655232	165105664	1270354	706171
90	5f/de8321	14387297	similarity (39)	COMPLETED	0	2016-11-29 16:53:42.400	1m 30s	552ms	6.0%	35.8 MB	57.7 MB	36 MB	58 MB	349.6 KB	10 KB	240	474	90485	552	37523456	60530688	37789696	60821504	358036	10251
91	d9/3bc41c	14387300	similarity (40)	COMPLETED	0	2016-11-29 16:53:42.470	1m 30s	459ms	5.0%	35.7 MB	57.6 MB	36 MB	57.9 MB	274.6 KB	9.1 KB	244	477	90449	459	37408768	60395520	37720064	60686336	281174	9301
92	fc/cd1e8c	14387302	similarity (41)	COMPLETED	0	2016-11-29 16:53:42.533	1m 30s	369ms	2.0%	8.6 MB	30.6 MB	29.8 MB	51.8 MB	514.1 KB	266.8 KB	345	677	90405	369	8982528	32133120	31215616	54329344	526401	273221
93	35/4e4c6f	14387303	similarity (42)	COMPLETED	0	2016-11-29 16:53:42.626	1m 30s	1.1s	65.0%	109.4 MB	157.3 MB	109.6 MB	157.6 MB	624.3 KB	13.9 KB	240	475	90334	1060	114724864	164970496	114941952	165289984	639318	14227
94	78/4f3784	14387304	similarity (43)	COMPLETED	0	2016-11-29 16:53:42.692	1m 30s	238ms	0.0%	8.5 MB	30.6 MB	32.4 MB	54.4 MB	117.9 KB	6.7 KB	205	462	90286	238	8945664	32133120	33976320	57032704	120744	6810
95	32/bdde39	14387307	similarity (44)	COMPLETED	0	2016-11-29 16:53:42.924	1m 30s	284ms	0.0%	8.5 MB	30.6 MB	26 MB	48.2 MB	396.9 KB	243.1 KB	356	680	90068	284	8892416	32133120	27254784	50544640	406419	248885
96	bc/3513b1	14387310	similarity (45)	COMPLETED	0	2016-11-29 16:53:42.994	1m 31s	460ms	7.0%	38.7 MB	60.3 MB	24.9 MB	46.9 MB	714.7 KB	454.6 KB	382	731	90813	460	40587264	63209472	26116096	49197056	731826	465471
97	ea/a4053c	14387315	similarity (46)	COMPLETED	0	2016-11-29 16:53:43.259	1m 31s	1.7s	73.0%	110.6 MB	158.7 MB	110.8 MB	158.9 MB	902.4 KB	17.7 KB	244	477	90574	1702	115961856	166453248	116162560	166576128	924048	18123
98	42/a8121a	14387781	matrix (1)	COMPLETED	0	2016-11-29 16:55:14.526	30.3s	561ms	2.0%	4.3 MB	40.9 MB	4.3 MB	40.9 MB	241.9 KB	79 B	167	3	30289	561	4481024	42848256	4481024	42893312	247741	79
